Capacity,C1017,C617,C8,C888,C883,C61,C138,Cordon_Z1,C62,C80,Cordon_Z2,Cordon_Z3,Cordon_Z4,Cordon_N1,Cordon_Z5,C940,C1470,C139,C1442,C1460,C1462,C1402,C1238,C1440,C878,C98,C96,C1422,C16,C101,Cordon_ZW1,Cordon_ZW2,C70,Cordon_O1,Cordon_ZO1,Cordon_ZO2,C1430,C41,Cordon_ZO3,C43,C1459,C1242,C85,C205 
C1238,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,10,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,10,999999,999999,999999,999999,10,999999,999999,10,999999,999999
C1440,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,10,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999
C878,999999,999999,999999,10,10,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
C98,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,10,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,0.75
C96,999999,999999,10,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
C1422,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999
C16,999999,999999,10,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,10,999999,999999,999999,999999
C101,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999
Cordon_ZW1,999999,10,999999,10,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Cordon_ZW2,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999
C70,999999,999999,999999,999999,10,10,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Cordon_O1,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999
Cordon_ZO1,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999
Cordon_ZO2,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
C1430,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,10,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10
C41,999999,999999,999999,999999,999999,10,999999,999999,10,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999
Cordon_ZO3,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,10,10,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
C43,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999
C1459,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,10,10,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
C1242,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
C85,999999,10,999999,999999,999999,999999,999999,10,999999,10,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
C205,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,10,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,999999,999999
